SA2 code,SA2 name,Pop
206011106,Brunswick East,12963
206011107,Brunswick West,14499
206011109,Pascoe Vale South,10461
206011495,Brunswick - North,13091
206011496,Brunswick - South,13215
206011497,Coburg - East,12672
206011498,Coburg - West,14187
206021110,Alphington - Fairfield,9072
206021112,Thornbury,19152
206021499,Northcote - East,15230
206021500,Northcote - West,10427
206031113,Ascot Vale,15351
206031115,Flemington,9190
206031116,Moonee Ponds,16406
206031501,Essendon (West) - Aberfeldie,16180
206031502,Essendon - East,12313
206041117,Carlton,17198
206041118,Docklands,15942
206041119,East Melbourne,4962
206041120,Flemington Racecourse,78
206041121,Kensington (Vic.),10874
206041124,Parkville,7446
206041125,South Yarra - West,6542
206041127,West Melbourne - Industrial,0
206041503,Melbourne CBD - East,10205
206041504,Melbourne CBD - North,17439
206041505,Melbourne CBD - West,16179
206041506,North Melbourne,15998
206041507,Royal Botanic Gardens Victoria,0
206041508,Southbank (West) - South Wharf,6635
206041509,Southbank - East,16538
206041510,West Melbourne - Residential,7619
206051128,Albert Park,16023
206051129,Elwood,15041
206051130,Port Melbourne,16373
206051134,St Kilda East,16085
206051511,Port Melbourne Industrial,1942
206051512,South Melbourne,11860
206051513,St Kilda - Central,12100
206051514,St Kilda - West,14104
206061135,Armadale,9436
206061136,Prahran - Windsor,19460
206061138,Toorak,13098
206061515,South Yarra - North,11456
206061516,South Yarra - South,10125
206071139,Abbotsford,9262
206071140,Carlton North - Princes Hill,8295
206071141,Collingwood,9348
206071142,Fitzroy,10609
206071143,Fitzroy North,12955
206071145,Clifton Hill - Alphington,9980
206071517,Richmond (South) - Cremorne,17972
206071518,Richmond - North,14083
207011146,Ashburton (Vic.),8025
207011147,Balwyn,16332
207011148,Balwyn North,21411
207011149,Camberwell,21512
207011150,Glen Iris - East,17010
207011152,Hawthorn East,15898
207011154,Kew East,6557
207011155,Surrey Hills (West) - Canterbury,16090
207011519,Hawthorn - North,10037
207011520,Hawthorn - South,12151
207011521,Kew - South,11725
207011522,Kew - West,13153
207021156,Bulleen,11371
207021157,Doncaster,25172
207021159,Templestowe,17105
207021160,Templestowe Lower,14278
207021424,Doncaster East - North,15792
207021425,Doncaster East - South,15593
207031161,Blackburn,22360
207031162,Blackburn South,11022
207031163,Box Hill,23232
207031164,Box Hill North,18304
207031165,Burwood (Vic.),12543
207031166,Burwood East,10778
207031167,Surrey Hills (East) - Mont Albert,10262
208011168,Beaumaris,14124
208011169,Brighton (Vic.),23053
208011170,Brighton East,16695
208011171,Highett (West) - Cheltenham,12541
208011172,Hampton,18406
208011173,Sandringham - Black Rock,17518
208021174,Bentleigh - McKinnon,25201
208021176,Carnegie,18803
208021177,Caulfield - North,22739
208021178,Caulfield - South,18232
208021179,Elsternwick,12032
208021180,Hughesdale,7644
208021181,Murrumbeena,9471
208021182,Ormond - Glen Huntly,13298
208021426,Bentleigh East - North,16756
208021427,Bentleigh East - South,14153
208031183,Aspendale Gardens - Waterways,8927
208031184,Braeside,28
208031185,Carrum - Patterson Lakes,12115
208031186,Chelsea - Bonbeach,15314
208031187,Chelsea Heights,5428
208031188,Highett (East) - Cheltenham,24355
208031189,Edithvale - Aspendale,13663
208031190,Mentone,13304
208031191,Moorabbin - Heatherton,9198
208031192,Moorabbin Airport,26
208031193,Mordialloc - Parkdale,21429
208041194,Malvern - Glen Iris,20482
208041195,Malvern East,22221
209011196,Bundoora - East,9925
209011197,Greensborough,20997
209011198,Heidelberg - Rosanna,16202
209011199,Heidelberg West,15038
209011200,Ivanhoe,12561
209011201,Ivanhoe East - Eaglemont,7801
209011202,Montmorency - Briar Hill,16658
209011203,Viewbank - Yallambie,18891
209011204,Watsonia,9303
209021205,Kingsbury,10564
209021428,Preston - East,20997
209021429,Preston - West,12828
209021523,Reservoir - North East,14989
209021524,Reservoir - North West,9887
209021525,Reservoir - South East,12941
209021526,Reservoir - South West,14248
209031209,Eltham,23711
209031210,Hurstbridge,3573
209031211,Kinglake,4235
209031212,Panton Hill - St Andrews,5124
209031213,Plenty - Yarrambat,9522
209031214,Research - North Warrandyte,6985
209031215,Wattle Glen - Diamond Creek,14539
209041216,Bundoora - North,7429
209041217,Bundoora - West,6239
209041220,Mill Park - North,17647
209041221,Mill Park - South,11342
209041223,Thomastown,20211
209041224,Wallan,22933
209041225,Whittlesea,10747
209041431,Epping - East,13272
209041432,Epping - South,8282
209041433,Epping (Vic.) - West,12280
209041435,South Morang - North,12713
209041436,South Morang - South,12514
209041437,Wollert,24762
209041527,Doreen - North,16477
209041528,Doreen - South,10587
209041529,Lalor - East,10032
209041530,Lalor - West,13631
209041531,Mernda - North,11550
209041532,Mernda - South,12084
210011226,Airport West,8237
210011227,Essendon Airport,14
210011228,Keilor,8596
210011230,Niddrie - Essendon West,7520
210011231,Strathmore,10108
210011533,Avondale Heights,12471
210011534,Keilor East,15174
210021232,Gisborne,14332
210021233,Macedon,3540
210021234,Riddells Creek,4494
210021235,Romsey,10832
210031236,Coburg North,8513
210031237,Fawkner,14193
210031439,Gowanbrae,3141
210031440,Hadfield,6295
210031535,Glenroy - East,14989
210031536,Glenroy - West,8976
210031537,Oak Park,7976
210031538,Pascoe Vale,17409
210041240,Sunbury,13786
210041539,Diggers Rest,5297
210041540,Sunbury - South,15095
210041541,Sunbury - West,11266
210051242,Broadmeadows,14071
210051243,Campbellfield - Coolaroo,16255
210051245,Gladstone Park - Westmeadows,18178
210051246,Greenvale - Bulla,22391
210051247,Meadow Heights,15078
210051248,Melbourne Airport,129
210051250,Tullamarine,6630
210051441,Craigieburn - Central,8197
210051442,Craigieburn - North,12448
210051443,Craigieburn - South,22005
210051445,Mickleham - Yuroke,23731
210051542,Craigieburn - North West,9969
210051543,Craigieburn - West,13185
210051544,Roxburgh Park (South) - Somerton,9584
210051545,Roxburgh Park - North,14849
211011251,Bayswater,12707
211011254,Knoxfield - Scoresby,16733
211011255,Lysterfield,6656
211011256,Rowville - Central,15540
211011257,Rowville - North,7963
211011258,Rowville - South,10464
211011259,Wantirna,14450
211011260,Wantirna South,18102
211011446,Boronia,23831
211011447,Ferntree Gully - North,14249
211011448,Ferntree Gully (South) - Upper Ferntree Gully,15448
211011449,The Basin,4380
211021261,Donvale - Park Orchards,16406
211021262,Warrandyte - Wonga Park,10183
211031263,Bayswater North,11968
211031265,Croydon Hills - Warranwood,18235
211031266,Ringwood,18919
211031267,Ringwood East,21351
211031268,Ringwood North,9726
211031450,Croydon - East,16233
211031451,Croydon - West,14247
211031452,Croydon South,4936
211041269,Forest Hill,10866
211041270,Mitcham (Vic.),16935
211041271,Nunawading,12522
211041272,Vermont,11083
211041273,Vermont South,12044
211051274,Belgrave - Selby,10095
211051275,Chirnside Park,11873
211051276,Healesville - Yarra Glen,14181
211051277,Kilsyth,9980
211051278,Lilydale - Coldstream,19783
211051279,Monbulk - Silvan,5857
211051280,Montrose,6995
211051281,Mooroolbark,23447
211051282,Mount Dandenong - Olinda,9771
211051283,Mount Evelyn,9863
211051284,Upwey - Tecoma,9848
211051285,Wandin - Seville,7959
211051286,Yarra Valley,16948
212011289,Emerald - Cockatoo,18797
212011546,Beaconsfield - Officer,23947
212011547,Bunyip - Garfield,9939
212011548,Koo Wee Rup,10148
212011549,Pakenham - North East,15615
212011550,Pakenham - North West,7563
212011551,Pakenham - South East,6491
212011552,Pakenham - South West,27169
212021293,Berwick - North,23187
212021295,Doveton,12061
212021297,Hallam,11603
212021299,Narre Warren North,8310
212021453,Endeavour Hills - North,12191
212021454,Endeavour Hills - South,13464
212021455,Narre Warren - North East,13620
212021456,Narre Warren - South West,14905
212021553,Berwick - South East,17980
212021554,Berwick - South West,11359
212031300,Cranbourne,21580
212031303,Cranbourne South,17613
212031304,Cranbourne West,21834
212031306,Lynbrook - Lyndhurst,18270
212031308,Pearcedale - Tooradin,8082
212031457,Narre Warren South - East,13266
212031458,Narre Warren South - West,16932
212031555,Clyde North - North,10642
212031556,Clyde North - South,15023
212031557,Cranbourne East - North,23753
212031558,Cranbourne East - South,12432
212031559,Cranbourne North - East,12920
212031560,Cranbourne North - West,12042
212031561,Hampton Park - East,12861
212031562,Hampton Park - West,13523
212041309,Clarinda - Oakleigh South,11656
212041310,Clayton South,13570
212041312,Dandenong North,22839
212041313,Dingley Village,10554
212041316,Noble Park North,7520
212041317,Springvale,22537
212041318,Springvale South,12738
212041459,Noble Park - East,12901
212041460,Noble Park - West,19818
212041563,Dandenong - North,21833
212041564,Dandenong - South,9497
