,Brunswick,Brunswick East,Brunswick West,Coburg,Pascoe Vale South,Alphington - Fairfield,Northcote,Thornbury,Ascot Vale,Essendon - Aberfeldie,Flemington,Moonee Ponds,Carlton,Docklands,East Melbourne,Flemington Racecourse,Kensington (Vic.),Melbourne,North Melbourne,Parkville,South Yarra - West,Southbank,West Melbourne,Albert Park,Elwood,Port Melbourne,Port Melbourne Industrial,South Melbourne,St Kilda,St Kilda East,Armadale,Prahran - Windsor,South Yarra - East,Toorak,Abbotsford,Carlton North - Princes Hill,Collingwood,Fitzroy,Fitzroy North,Richmond (Vic.),Yarra - North,Ashburton (Vic.),Balwyn,Balwyn North,Camberwell,Glen Iris - East,Hawthorn,Hawthorn East,Kew,Kew East,Surrey Hills (West) - Canterbury,Bulleen,Doncaster,Templestowe,Templestowe Lower,Doncaster East (North),Doncaster East (South),Blackburn,Blackburn South,Box Hill,Box Hill North,Burwood,Burwood East,Surrey Hills (East) - Mont Albert,Beaumaris,Brighton (Vic.),Brighton East,Cheltenham - Highett (West),Hampton,Sandringham - Black Rock,Bentleigh - McKinnon,Carnegie,Caulfield - North,Caulfield - South,Elsternwick,Hughesdale,Murrumbeena,Ormond - Glen Huntly,Bentleigh East (North),Bentleigh East (South),Aspendale Gardens - Waterways,Braeside,Carrum - Patterson Lakes,Chelsea - Bonbeach,Chelsea Heights,Cheltenham - Highett (East),Edithvale - Aspendale,Mentone,Moorabbin - Heatherton,Moorabbin Airport,Mordialloc - Parkdale,Malvern - Glen Iris,Malvern East,Bundoora - East,Greensborough,Heidelberg - Rosanna,Heidelberg West,Ivanhoe,Ivanhoe East - Eaglemont,Montmorency - Briar Hill,Viewbank - Yallambie,Watsonia,Kingsbury,Reservoir - East,Reservoir - West,Preston - East,Preston - West,Eltham,Hurstbridge,Kinglake,Panton Hill - St Andrews,Plenty - Yarrambat,Research - North Warrandyte,Wattle Glen - Diamond Creek,Bundoora - North,Bundoora - West,Lalor,Mill Park - North,Mill Park - South,Thomastown,Wallan,Whittlesea,Doreen,Epping - East,Epping - South,Epping - West,Mernda,South Morang (North),South Morang (South),Wollert,Airport West,Essendon Airport,Keilor,Keilor East,Niddrie - Essendon West,Strathmore,Gisborne,Macedon,Riddells Creek,Romsey,Coburg North,Fawkner,Pascoe Vale,Glenroy,Gowanbrae,Hadfield,Sunbury,Sunbury - South,Broadmeadows,Campbellfield - Coolaroo,Gladstone Park - Westmeadows,Greenvale - Bulla,Meadow Heights,Melbourne Airport,Roxburgh Park - Somerton,Tullamarine,Craigieburn - Central,Craigieburn - North,Craigieburn - South,Craigieburn - West,Mickleham - Yuroke,Bayswater,Knoxfield - Scoresby,Lysterfield,Rowville - Central,Rowville - North,Rowville - South,Wantirna,Wantirna South,Boronia,Ferntree Gully (North),Ferntree Gully (South) - Upper Ferntree Gully,The Basin,Donvale - Park Orchards,Warrandyte - Wonga Park,Bayswater North,Croydon Hills - Warranwood,Ringwood,Ringwood East,Ringwood North,Croydon - East,Croydon - West,Croydon South,Forest Hill,Mitcham (Vic.),Nunawading,Vermont,Vermont South,Belgrave - Selby,Chirnside Park,Healesville - Yarra Glen,Kilsyth,Lilydale - Coldstream,Monbulk - Silvan,Montrose,Mooroolbark,Mount Dandenong - Olinda,Mount Evelyn,Upwey - Tecoma,Wandin - Seville,Yarra Valley,Beaconsfield - Officer,Bunyip - Garfield,Emerald - Cockatoo,Koo Wee Rup,Pakenham - North,Pakenham - South,Berwick - North,Berwick - South,Doveton,Hallam,Narre Warren North,Endeavour Hills - North,Endeavour Hills - South,Narre Warren - North East,Narre Warren - South West,Cranbourne,Cranbourne East,Cranbourne North,Cranbourne South,Cranbourne West,Hampton Park - Lynbrook,Lynbrook - Lyndhurst,Pearcedale - Tooradin,Narre Warren South (East),Narre Warren South (West),Clarinda - Oakleigh South,Clayton South,Dandenong,Dandenong North,Dingley Village,Keysborough,Noble Park North,Springvale,Springvale South,Noble Park - East,Noble Park - West,Ashwood - Chadstone,Clayton,Glen Waverley - East,Glen Waverley - West,Mount Waverley - North,Mount Waverley - South,Mulgrave,Oakleigh - Huntingdale,Wheelers Hill,Ardeer - Albion,Cairnlea,Deer Park - Derrimut,Delahey,Keilor Downs,Kings Park (Vic.),St Albans - North,St Albans - South,Sunshine,Sunshine North,Sunshine West,Sydenham,Taylors Lakes,Altona,Altona Meadows,Altona North,Newport,Seabrook,Williamstown,Braybrook,Footscray,Maribyrnong,Seddon - Kingsville,West Footscray - Tottenham,Yarraville,Bacchus Marsh,Hillside,Melton,Melton South,Melton West,Rockbank - Mount Cottrell,Taylors Hill,Burnside,Burnside Heights,Caroline Springs,Hoppers Crossing - North,Hoppers Crossing - South,Laverton,Tarneit,Truganina,Werribee - South,Wyndham Vale,Point Cook - East,Point Cook - North,Point Cook - South,Werribee - East,Werribee - West,Carrum Downs,Frankston,Frankston North,Frankston South,Langwarrin,Seaford (Vic.),Skye - Sandhurst,Dromana,Flinders,Hastings - Somers,Mornington,Mount Eliza,Mount Martha,Point Nepean,Rosebud - McCrae,Somerville
Brunswick,1701,137,63,170,21,34,123,46,19,66,46,107,541,575,292,13,57,3111,257,955,132,494,14,146,9,30,183,289,120,11,21,77,124,23,143,67,235,401,103,382,52,5,16,6,28,25,111,29,77,15,16,14,30,3,5,0,8,16,0,49,0,33,9,9,3,19,4,11,3,5,8,0,26,10,16,0,0,4,4,4,0,6,0,0,0,15,0,0,11,0,3,38,28,10,7,81,18,21,9,5,12,0,55,18,32,146,17,7,0,0,6,6,0,3,12,3,19,6,0,46,5,4,0,4,51,0,0,0,9,0,28,23,78,13,12,16,6,0,0,4,74,23,29,25,0,11,10,10,70,105,18,4,0,89,20,16,3,6,11,0,0,9,20,0,7,3,0,6,8,0,0,3,0,6,0,0,0,23,8,0,0,0,0,9,7,10,7,0,3,0,3,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,26,4,0,0,0,0,0,4,4,8,79,5,17,4,19,31,17,3,0,0,22,4,5,8,4,45,39,12,27,4,14,12,0,18,25,0,13,23,144,40,3,17,38,3,0,7,6,7,16,3,0,0,8,0,5,28,3,18,13,0,0,6,0,0,0,4,4,0,0,0,0,0,0,0,0,5,0,0,0,3,0
Brunswick East,262,522,21,68,4,16,73,33,9,20,19,29,267,217,141,7,19,1440,93,303,88,205,7,58,0,16,50,111,59,0,7,39,49,12,92,56,114,229,56,177,23,0,0,7,19,4,49,21,34,9,7,6,21,4,3,0,0,8,3,21,4,13,10,0,0,4,0,0,0,5,10,3,11,3,10,0,0,0,0,0,0,3,0,0,0,0,0,0,13,0,3,10,6,12,9,32,22,4,3,0,4,3,28,12,18,65,8,12,0,0,0,0,3,0,0,0,0,3,0,20,0,0,4,0,29,0,0,0,8,0,10,14,28,0,9,0,4,0,0,0,26,3,9,9,0,4,5,0,37,53,0,5,0,46,4,5,0,0,3,0,0,5,4,0,0,0,0,0,0,5,0,0,0,0,0,5,0,8,3,0,0,0,0,0,3,11,4,0,0,0,0,0,10,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,9,0,0,0,0,3,0,0,0,6,38,0,3,6,7,20,3,4,0,0,6,3,0,3,0,12,25,4,3,4,10,6,0,10,5,0,13,6,55,21,3,8,11,0,0,0,0,0,10,0,0,0,4,4,0,10,0,3,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunswick West,411,55,479,109,12,14,39,34,22,58,28,116,174,302,111,8,30,1274,109,551,59,239,23,63,0,11,106,124,48,0,11,20,38,11,38,29,73,124,47,128,24,0,3,5,21,5,55,18,37,3,13,5,12,0,5,5,5,14,0,32,0,18,4,3,0,4,3,0,0,0,0,0,5,4,5,0,0,0,5,0,0,7,0,0,0,0,0,0,9,0,0,16,12,4,10,48,24,7,3,0,3,9,30,13,22,66,25,4,0,0,0,0,0,0,14,8,13,6,0,29,0,0,10,0,23,3,0,0,4,0,21,31,76,7,12,17,5,0,0,0,52,6,24,15,0,10,3,9,54,76,14,11,0,70,22,25,5,3,10,9,0,5,3,0,0,0,0,4,3,0,0,3,0,0,0,5,0,7,4,0,0,0,0,10,6,0,0,0,0,4,0,0,5,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,7,0,3,0,0,4,4,30,3,5,0,10,14,4,0,5,0,25,0,6,0,3,15,15,6,19,3,4,8,0,23,11,0,15,13,78,44,0,3,14,0,0,3,0,10,10,0,0,0,3,8,4,29,5,16,6,0,0,3,0,0,0,0,3,0,0,0,0,0,6,0,0,0,3,0,0,0,0
Coburg,553,137,53,1512,45,23,129,68,22,85,24,128,310,467,205,3,38,2127,199,605,84,335,21,94,0,15,140,184,61,8,14,49,46,12,111,31,128,223,78,243,39,0,10,10,33,17,82,47,58,11,11,11,26,3,14,0,6,7,3,35,0,26,8,5,0,10,0,7,4,5,0,8,19,8,6,0,0,0,5,0,0,11,0,0,0,3,4,0,19,4,4,17,18,13,19,117,57,29,7,7,13,3,76,28,59,269,43,14,0,0,7,12,6,4,25,5,13,10,3,105,0,0,0,7,84,5,0,3,16,0,38,57,111,25,20,18,4,0,0,0,219,46,73,50,3,20,5,17,125,192,22,11,7,129,44,30,0,5,25,6,3,11,13,0,3,0,3,3,3,4,3,0,0,0,0,5,3,16,6,0,5,0,0,0,0,8,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,4,45,0,0,7,3,6,0,0,0,12,54,0,0,0,10,25,15,0,8,0,38,3,7,6,6,38,40,17,31,3,13,9,0,33,6,0,13,41,93,53,4,7,14,7,3,4,3,0,11,6,0,0,8,5,7,41,0,22,13,9,0,10,0,0,0,0,4,0,0,0,5,0,0,5,0,0,0,0,0,0,6
Pascoe Vale South,152,12,16,161,335,12,22,6,23,95,13,106,75,192,52,10,13,650,87,205,31,80,17,35,0,9,66,76,23,0,3,8,26,0,24,12,37,63,8,73,14,0,6,3,15,0,11,14,15,3,0,0,5,5,0,0,4,8,0,9,0,13,6,0,0,0,0,3,0,4,9,5,11,9,3,0,0,0,0,0,0,8,0,0,0,0,0,3,4,0,4,3,11,6,0,37,16,0,0,6,0,4,25,8,24,82,9,3,0,0,0,3,0,0,4,3,10,0,0,25,0,0,0,0,15,0,3,0,3,0,28,56,88,15,23,33,0,0,0,0,84,24,62,19,0,5,4,8,66,74,13,3,3,71,27,18,0,3,9,3,0,5,6,0,0,0,0,0,0,5,0,0,0,0,0,8,0,3,0,0,4,0,0,0,7,6,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,6,19,0,0,0,10,13,0,0,0,0,21,0,7,0,7,27,19,9,16,8,20,9,4,21,8,0,3,12,45,41,3,9,16,6,0,6,0,0,12,0,0,0,6,0,0,20,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alphington - Fairfield,50,8,0,23,0,475,132,57,0,6,0,14,96,184,90,0,11,850,43,129,47,124,4,34,0,6,39,81,37,7,11,17,35,16,63,14,101,76,45,170,59,0,14,14,15,4,50,17,92,14,12,13,23,5,9,0,7,16,5,49,0,16,10,4,0,4,0,0,0,3,0,0,13,3,8,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,10,5,11,13,116,32,72,5,0,15,7,26,26,6,98,24,16,0,0,0,0,4,5,13,6,11,3,0,41,0,0,0,4,30,3,0,0,5,0,7,5,22,0,0,4,0,0,0,0,9,0,0,5,0,0,0,6,14,29,0,0,0,12,5,4,0,0,7,0,0,9,13,0,3,0,0,0,4,3,0,0,0,0,4,9,0,11,3,0,0,0,4,3,0,16,3,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,16,0,0,4,0,5,0,0,0,3,38,0,6,0,14,24,0,0,0,0,9,0,0,0,0,0,3,8,8,0,0,7,0,4,0,0,7,4,22,3,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,5,0,0,0,6,0,0,0,0,6,0,0,0,0,0
Northcote,194,80,24,87,7,142,1519,162,6,30,17,33,307,447,337,13,30,2473,146,448,116,361,12,100,3,22,122,195,100,14,23,73,86,22,174,53,301,484,162,485,98,7,13,14,47,29,124,55,122,20,20,12,40,5,11,0,19,21,5,90,6,37,23,6,0,12,0,3,3,9,7,6,25,4,9,0,0,0,9,0,0,0,0,0,0,9,0,0,12,8,7,45,22,19,28,219,52,86,18,7,18,6,139,32,48,300,38,21,0,0,4,9,3,3,18,9,13,15,0,77,0,0,0,18,80,4,3,0,21,0,10,19,37,3,6,7,0,0,0,0,34,15,19,17,0,7,0,4,50,70,10,4,0,57,15,0,0,0,9,3,5,12,28,0,4,4,0,4,14,3,0,5,0,10,3,5,3,41,11,5,5,7,3,12,20,17,8,8,3,7,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,42,3,0,9,4,11,0,0,0,7,80,11,20,9,27,43,21,3,0,0,21,0,4,0,0,22,17,4,16,0,0,8,0,14,7,0,5,7,78,17,0,12,12,4,0,9,3,6,11,0,0,0,4,0,0,22,0,3,8,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0
Thornbury,155,68,26,72,10,99,316,915,10,19,16,30,186,327,175,5,19,1580,108,254,74,223,0,70,3,14,82,130,70,10,10,54,59,17,126,18,209,260,99,269,66,0,18,18,48,19,77,34,91,8,20,22,27,6,16,3,15,11,4,51,3,30,13,3,0,16,4,4,0,0,0,4,15,13,11,0,0,0,3,0,0,4,0,0,0,6,0,3,11,3,3,28,19,11,17,186,55,45,12,13,7,0,103,26,48,356,64,26,0,0,3,5,4,8,32,17,19,14,3,106,0,3,4,9,66,8,0,0,9,0,9,13,32,4,9,3,5,0,0,0,40,8,23,25,0,4,0,4,67,92,4,0,0,47,24,6,0,3,7,7,0,4,23,0,3,0,0,0,3,9,0,3,0,4,0,7,3,14,6,0,0,3,4,4,8,5,5,6,0,0,3,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,3,0,0,4,0,0,0,0,0,0,0,4,25,0,0,7,4,4,0,0,6,8,38,4,10,0,13,30,9,4,0,0,8,0,0,0,3,11,22,4,17,0,14,9,0,9,9,0,5,18,43,12,4,9,10,3,0,0,0,4,12,6,0,0,0,0,0,32,4,7,5,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0
Ascot Vale,79,18,13,43,4,7,27,8,648,129,112,204,110,358,119,83,70,1349,174,361,57,199,28,76,0,21,123,107,49,3,17,21,31,14,61,12,52,89,17,152,14,0,5,3,12,10,35,18,19,8,4,0,11,0,6,0,3,4,0,11,0,15,4,6,0,3,4,10,4,3,0,3,8,0,4,0,0,0,3,0,0,0,0,0,0,8,0,0,5,0,0,16,7,8,3,33,11,4,0,0,8,0,18,0,11,44,6,0,0,0,0,0,0,0,4,0,3,0,3,27,0,0,0,0,16,0,0,0,3,0,28,39,95,30,27,21,3,0,0,0,26,8,18,16,0,5,3,6,59,63,11,10,4,130,20,14,0,0,7,0,0,3,3,0,3,3,0,0,0,0,0,0,0,0,0,6,0,9,0,0,0,0,0,4,4,7,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,20,0,0,4,0,0,0,0,0,0,31,8,4,0,11,19,4,6,10,0,42,0,7,0,7,36,55,19,50,8,24,29,0,52,4,0,20,53,166,120,6,24,22,6,3,4,0,6,15,0,6,0,9,8,16,45,3,21,17,0,0,9,4,0,0,0,3,0,0,0,0,0,0,0,0,6,0,0,0,0,0
Essendon - Aberfeldie,182,19,30,125,11,17,46,20,112,1865,77,535,169,553,207,64,86,2112,223,436,93,316,28,129,4,18,184,239,73,11,20,27,71,10,64,25,67,124,23,208,11,0,7,3,13,14,64,31,44,7,8,3,13,4,3,0,0,9,0,25,0,15,9,3,0,21,3,6,4,3,0,0,17,3,5,3,0,3,4,0,0,4,0,0,0,4,0,3,12,3,3,23,9,20,10,40,21,10,0,0,4,4,24,8,34,102,12,7,0,0,0,0,3,0,14,6,30,12,3,70,7,0,0,0,71,3,0,0,6,0,207,200,421,123,189,93,15,0,5,6,62,20,86,51,0,25,22,40,158,160,64,26,8,345,57,100,8,0,22,11,0,6,19,0,0,4,4,0,3,3,0,0,0,3,0,0,0,15,3,0,0,0,3,6,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,6,40,0,0,0,0,3,0,0,4,4,41,5,9,0,8,31,3,0,10,4,80,10,21,7,40,76,88,58,67,19,41,29,9,76,17,3,41,65,209,236,6,32,39,8,15,26,8,9,33,11,0,3,21,13,17,111,10,34,37,3,0,15,0,3,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
