SA3 (POW),Brunswick - Coburg,Darebin - South,Essendon,Melbourne City,Port Phillip,Stonnington - West,Yarra,Boroondara,Manningham - West,Whitehorse - West,Bayside,Glen Eira,Kingston,Stonnington - East,Banyule,Darebin - North,Nillumbik - Kinglake,Whittlesea - Wallan,Keilor,Macedon Ranges,Moreland - North,Sunbury,Tullamarine - Broadmeadows,Knox,Manningham - East,Maroondah,Whitehorse - East,Yarra Ranges,Cardinia,Casey - North,Casey - South,Dandenong,Monash,Brimbank,Hobsons Bay,Maribyrnong,Melton - Bacchus Marsh,Wyndham,Frankston,Mornington Peninsula
Brunswick - Coburg,7008,674,1039,17903,2144,596,3683,1005,204,374,94,217,143,162,698,1181,94,679,889,33,914,59,1683,174,10,124,110,56,13,34,22,185,508,702,279,871,187,316,27,29
Darebin - South,812,3807,193,9234,1149,428,3331,1033,243,407,64,137,86,122,1063,1332,102,690,197,7,199,13,569,150,21,144,113,47,11,27,16,165,419,206,98,273,60,123,25,23
Essendon,812,208,5503,11931,1647,353,1544,501,80,190,91,125,73,100,256,402,22,419,1873,38,445,100,1763,89,9,71,50,20,8,24,8,146,298,1052,410,1477,253,528,20,16
Melbourne City,653,290,567,39686,4286,1405,4028,1471,199,607,312,454,330,311,368,371,37,282,347,20,132,25,857,253,16,176,173,61,20,107,29,424,1016,610,427,953,128,534,93,70
Port Phillip,262,129,195,20325,14746,2405,3167,1408,103,473,1214,1691,1129,660,226,221,20,181,277,5,71,19,582,312,10,127,141,54,31,132,68,844,1646,430,425,499,123,452,194,82
Stonnington - West,155,58,74,12941,3156,6965,2808,1475,97,354,429,772,489,800,154,127,8,84,104,3,32,9,234,244,3,94,90,37,30,124,41,497,1267,161,135,198,21,174,94,60
Yarra,671,585,210,20076,2655,1435,12461,2323,264,667,194,414,278,353,771,630,74,403,224,12,107,15,482,320,21,262,185,108,24,110,31,492,1068,269,217,474,57,211,93,50
Boroondara,458,469,229,22659,3180,2116,5848,21594,1328,3398,446,916,757,1733,1320,760,127,544,251,19,143,8,662,1092,87,786,787,260,67,292,110,1435,3596,309,248,403,68,264,181,111
Manningham - West,411,365,108,7931,1159,447,1774,2699,8723,2583,84,217,313,297,1418,781,319,682,235,9,187,9,630,871,267,911,1022,266,29,137,34,774,1541,195,133,208,57,108,80,45
Whitehorse - West,185,157,66,9318,1356,652,1881,4651,1320,10369,189,505,573,712,645,323,99,239,92,3,60,0,280,1404,150,1157,1926,363,48,243,71,1292,3200,116,101,156,27,108,143,47
Bayside,88,52,70,10504,3525,1184,1353,973,64,368,11950,2296,4484,588,66,77,10,56,101,3,25,0,260,326,7,112,103,29,39,190,79,1496,2069,162,191,176,32,164,472,155
Glen Eira,184,106,112,17681,5764,2756,2615,2369,169,1049,2821,15519,4295,2234,201,190,15,141,173,0,46,5,319,653,11,195,259,115,91,421,140,2649,5159,286,295,335,72,237,467,156
