year SA3 cases city_cases pcnt_of_cases popn pcnt_of_popn city_popn
2010 20601 29.012844200000007 1305.4336834 2.22246787170652 91653 2.0712809181948786 4424943
2011 20601 50.165104400000004 1813.1387244000002 2.766754894422131 91653 2.0712809181948786 4424943
2012 20601 92.68560389999998 3579.0621404 2.5896617679189364 91653 2.0712809181948786 4424943
2013 20601 61.01744489999999 3233.1670311999997 1.8872345384937685 91653 2.0712809181948786 4424943
2014 20601 157.04905349999999 5797.6838775000015 2.708824020390028 91653 2.0712809181948786 4424943
2015 20601 230.15722630000002 10741.9907961 2.142593776784478 91653 2.0712809181948786 4424943
2016 20601 168.99518739999996 7151.113773900001 2.36320093265465 91653 2.0712809181948786 4424943
2010 20602 23.550408599999997 1305.4336834 1.8040294883967596 55271 1.2490782367140096 4424943
2011 20602 23.1008172 1813.1387244000002 1.274078860548548 55271 1.2490782367140096 4424943
2012 20602 49.201634399999996 3579.0621404 1.3747074644113657 55271 1.2490782367140096 4424943
2013 20602 22.6512258 3233.1670311999997 0.7005894091278336 55271 1.2490782367140096 4424943
2014 20602 85.97683869999999 5797.6838775000015 1.4829514771176824 55271 1.2490782367140096 4424943
2015 20602 105.62806450000001 10741.9907961 0.983319260879924 55271 1.2490782367140096 4424943
2016 20602 54.75204299999999 7151.113773900001 0.7656435728911621 55271 1.2490782367140096 4424943
2010 20603 24.193431800000006 1305.4336834 1.8532869273748362 70367 1.5902351736508245 4424943
2011 20603 33.5350534 1813.1387244000002 1.8495580591108574 70367 1.5902351736508245 4424943
2012 20603 81.71585879999999 3579.0621404 2.283164013208984 70367 1.5902351736508245 4424943
2013 20603 63.1325434 3233.1670311999997 1.9526533207462582 70367 1.5902351736508245 4424943
2014 20603 89.8871118 5797.6838775000015 1.550396911926145 70367 1.5902351736508245 4424943
2015 20603 173.65919559999998 10741.9907961 1.616638841871368 70367 1.5902351736508245 4424943
2016 20603 91.51749559999999 7151.113773900001 1.2797656210424002 70367 1.5902351736508245 4424943
2010 20604 37.330703299999996 1305.4336834 2.8596399629257485 148041 3.3456024179294515 4424943
2011 20604 27.088185499999994 1813.1387244000002 1.493994096285377 148041 3.3456024179294515 4424943
2012 20604 80.50611320000002 3579.0621404 2.2493633818551855 148041 3.3456024179294515 4424943
2013 20604 74.31726850000001 3233.1670311999997 2.298590446544821 148041 3.3456024179294515 4424943
2014 20604 111.4939315 5797.6838775000015 1.9230771089933398 148041 3.3456024179294515 4424943
2015 20604 224.36214459999994 10741.9907961 2.0886458465544124 148041 3.3456024179294515 4424943
2016 20604 161.4017257 7151.113773900001 2.2570152119391658 148041 3.3456024179294515 4424943
2010 20605 36.8728687 1305.4336834 2.824568506916772 108569 2.4535683284507845 4424943
2011 20605 42.9588849 1813.1387244000002 2.369310429582042 108569 2.4535683284507845 4424943
2012 20605 87.2537247 3579.0621404 2.437893539625675 108569 2.4535683284507845 4424943
2013 20605 94.5070859 3233.1670311999997 2.9230499070418707 108569 2.4535683284507845 4424943
2014 20605 107.0241428 5797.6838775000015 1.845980999677228 108569 2.4535683284507845 4424943
2015 20605 306.8466719 10741.9907961 2.85651587051633 108569 2.4535683284507845 4424943
2016 20605 160.5399565 7151.113773900001 2.2449643730454363 108569 2.4535683284507845 4424943
2010 20606 35.30421439999999 1305.4336834 2.704405045536302 67798 1.5321779286196455 4424943
2011 20606 28.244726800000002 1813.1387244000002 1.557780793046968 67798 1.5321779286196455 4424943
2012 20606 83.5614644 3579.0621404 2.3347307512984696 67798 1.5321779286196455 4424943
2013 20606 52.784165200000004 3233.1670311999997 1.6325839243884968 67798 1.5321779286196455 4424943
2014 20606 90.1179568 5797.6838775000015 1.5543785881416396 67798 1.5321779286196455 4424943
2015 20606 180.54926600000005 10741.9907961 1.680780308111514 67798 1.5321779286196455 4424943
2016 20606 129.73952080000004 7151.113773900001 1.8142561410995983 67798 1.5321779286196455 4424943
2010 20607 24.429926599999995 1305.4336834 1.871403113819791 94234 2.1296093531600295 4424943
2011 20607 29.876922699999998 1813.1387244000002 1.6478012574513186 94234 2.1296093531600295 4424943
2012 20607 57.76288580000002 3579.0621404 1.6139112296481217 94234 2.1296093531600295 4424943
2013 20607 45.313196299999994 3233.1670311999997 1.4015111456577565 94234 2.1296093531600295 4424943
2014 20607 102.97913210000002 5797.6838775000015 1.7762115747574234 94234 2.1296093531600295 4424943
2015 20607 187.2769772 10741.9907961 1.743410330122355 94234 2.1296093531600295 4424943
2016 20607 131.1631118 7151.113773900001 1.8341634037304315 94234 2.1296093531600295 4424943
2010 20701 67.4561757 1305.4336834 5.167338376340228 177361 4.00820982326778 4424943
2011 20701 132.91210139999998 1813.1387244000002 7.330498191415716 177361 4.00820982326778 4424943
2012 20701 219.5129769 3579.0621404 6.1332541400207985 177361 4.00820982326778 4424943
2013 20701 142.93138309999998 3233.1670311999997 4.420785617344074 177361 4.00820982326778 4424943
2014 20701 243.9870069 5797.6838775000015 4.208353060553705 177361 4.00820982326778 4424943
2015 20701 536.8894239 10741.9907961 4.9980439761214805 177361 4.00820982326778 4424943
2016 20701 338.20143060000015 7151.113773900001 4.7293532349374905 177361 4.00820982326778 4424943
2010 20702 24.034071800000003 1305.4336834 1.841079489951822 95593 2.160321613182362 4424943
2011 20702 31.008750300000003 1813.1387244000002 1.7102249200629338 95593 2.160321613182362 4424943
2012 20702 64.1776089 3579.0621404 1.7931403921594788 95593 2.160321613182362 4424943
2013 20702 66.1032511 3233.1670311999997 2.044535604319384 95593 2.160321613182362 4424943
2014 20702 105.17082370000001 5797.6838775000015 1.8140144568446246 95593 2.160321613182362 4424943
2015 20702 149.58600580000004 10741.9907961 1.3925352259127695 95593 2.160321613182362 4424943
2016 20702 144.35107500000004 7151.113773900001 2.0185817141778646 95593 2.160321613182362 4424943
2010 20703 18.100217100000002 1305.4336834 1.3865290385994955 107256 2.4238956298420113 4424943
2011 20703 33.2946986 1813.1387244000002 1.83630177613783 107256 2.4238956298420113 4424943
2012 20703 59.85292989999999 3579.0621404 1.672307647983747 107256 2.4238956298420113 4424943
2013 20703 65.4799838 3233.1670311999997 2.025258304570083 107256 2.4238956298420113 4424943
2014 20703 141.25143680000002 5797.6838775000015 2.436342508224311 107256 2.4238956298420113 4424943
2015 20703 235.21018930000005 10741.9907961 2.1896331300655714 107256 2.4238956298420113 4424943
2016 20703 151.82253080000004 7151.113773900001 2.1230613244347896 107256 2.4238956298420113 4424943
2010 20801 47.710897599999996 1305.4336834 3.654792901906517 102737 2.3217700205403777 4424943
2011 20801 51.50654199999999 1813.1387244000002 2.840739172731773 102737 2.3217700205403777 4424943
2012 20801 143.18608219999996 3579.0621404 4.000659295174946 102737 2.3217700205403777 4424943
2013 20801 148.17925019999996 3233.1670311999997 4.58309913376182 102737 2.3217700205403777 4424943
2014 20801 213.46478800000008 5797.6838775000015 3.6818976769055487 102737 2.3217700205403777 4424943
2015 20801 489.86357459999994 10741.9907961 4.560268053644678 102737 2.3217700205403777 4424943
2016 20801 276.3717606 7151.113773900001 3.8647372890177807 102737 2.3217700205403777 4424943
2010 20802 95.768041 1305.4336834 7.336109234639348 157014 3.5483846910570374 4424943
2011 20802 94.3792338 1813.1387244000002 5.205295796174215 157014 3.5483846910570374 4424943
2012 20802 167.31494640000003 3579.0621404 4.6748265281949175 157014 3.5483846910570374 4424943
2013 20802 182.99238789999993 3233.1670311999997 5.659849495374872 157014 3.5483846910570374 4424943
2014 20802 271.97610779999997 5797.6838775000015 4.691116548377209 157014 3.5483846910570374 4424943
2015 20802 599.3717943000001 10741.9907961 5.579708693453813 157014 3.5483846910570374 4424943
2016 20802 338.192461 7151.113773900001 4.729227805524901 157014 3.5483846910570374 4424943
2010 20803 29.976147000000005 1305.4336834 2.296259655406407 122522 2.7688944241767635 4424943
2011 20803 52.173189400000005 1813.1387244000002 2.877506762052365 122522 2.7688944241767635 4424943
2012 20803 102.85828940000002 3579.0621404 2.8738894538585593 122522 2.7688944241767635 4424943
2013 20803 112.47884410000002 3233.1670311999997 3.4789060699487946 122522 2.7688944241767635 4424943
2014 20803 253.628671 5797.6838775000015 4.374655058105139 122522 2.7688944241767635 4424943
2015 20803 480.8558616000001 10741.9907961 4.476412898944022 122522 2.7688944241767635 4424943
2016 20803 258.9778835 7151.113773900001 3.621504169675115 122522 2.7688944241767635 4424943
2010 20804 17.9945001 1305.4336834 1.3784308102984866 43808 0.9900240522872272 4424943
2011 20804 30.4079225 1813.1387244000002 1.6770874776866576 43808 0.9900240522872272 4424943
2012 20804 42.852348500000005 3579.0621404 1.1973066356207713 43808 0.9900240522872272 4424943
2013 20804 30.137606999999996 3233.1670311999997 0.9321388814488292 43808 0.9900240522872272 4424943
2014 20804 48.3077557 5797.6838775000015 0.833225072644537 43808 0.9900240522872272 4424943
2015 20804 128.0662856 10741.9907961 1.1922025258716091 43808 0.9900240522872272 4424943
2016 20804 93.21089020000001 7151.113773900001 1.30344577288365 43808 0.9900240522872272 4424943
2010 20901 51.1470334 1305.4336834 3.9180108534343643 127693 2.8857546865575445 4424943
2011 20901 53.47712849999999 1813.1387244000002 2.949422886420151 127693 2.8857546865575445 4424943
2012 20901 169.9222781 3579.0621404 4.747676107154969 127693 2.8857546865575445 4424943
2013 20901 123.59422850000001 3233.1670311999997 3.822698527707294 127693 2.8857546865575445 4424943
2014 20901 188.99508620000003 5797.6838775000015 3.2598377247414865 127693 2.8857546865575445 4424943
2015 20901 459.5814779000001 10741.9907961 4.278364100505991 127693 2.8857546865575445 4424943
2016 20901 329.7468067000001 7151.113773900001 4.611125163516538 127693 2.8857546865575445 4424943
2010 20902 35.9402356 1305.4336834 2.753126111040257 99751 2.2542889253036704 4424943
2011 20902 41.9539097 1813.1387244000002 2.3138830545844353 99751 2.2542889253036704 4424943
2012 20902 109.6420703 3579.0621404 3.063430194809255 99751 2.2542889253036704 4424943
2013 20902 53.373139099999996 3233.1670311999997 1.6508005489648456 99751 2.2542889253036704 4424943
2014 20902 110.7674969 5797.6838775000015 1.9105473709919427 99751 2.2542889253036704 4424943
2015 20902 207.26204099999995 10741.9907961 1.929456512616346 99751 2.2542889253036704 4424943
2016 20902 143.0005548 7151.113773900001 1.999696261607817 99751 2.2542889253036704 4424943
2010 20903 36.393816900000004 1305.4336834 2.7878717519539076 68270 1.542844732689212 4424943
2011 20903 25.1080945 1813.1387244000002 1.3847861811185305 68270 1.542844732689212 4424943
2012 20903 88.8229681 3579.0621404 2.4817386403375785 68270 1.542844732689212 4424943
2013 20903 111.59428380000003 3233.1670311999997 3.451547127727004 68270 1.542844732689212 4424943
2014 20903 131.50306820000003 5797.6838775000015 2.2682000429575853 68270 1.542844732689212 4424943
2015 20903 297.4424594999999 10741.9907961 2.7689695992663643 68270 1.542844732689212 4424943
2016 20903 150.3645007 7151.113773900001 2.1026724710883147 68270 1.542844732689212 4424943
2010 20904 66.56921669999998 1305.4336834 5.099394748771961 224581 5.075342213447721 4424943
2011 20904 74.89576770000001 1813.1387244000002 4.130724620907556 224581 5.075342213447721 4424943
2012 20904 120.1772995 3579.0621404 3.3577874534072456 224581 5.075342213447721 4424943
2013 20904 159.305145 3233.1670311999997 4.927216672157932 224581 5.075342213447721 4424943
2014 20904 233.6838947 5797.6838775000015 4.030642229509864 224581 5.075342213447721 4424943
