SA4 SA3 popn pcnt_of_popn
206 20601 91653 2.07128091819488
206 20602 55271 1.24907823671401
206 20603 70367 1.59023517365082
206 20604 148041 3.34560241792945
206 20605 108569 2.45356832845078
206 20606 67798 1.53217792861965
206 20607 94234 2.12960935316003
207 20701 177361 4.00820982326778
207 20702 95593 2.16032161318236
207 20703 107256 2.42389562984201
208 20801 102737 2.32177002054038
208 20802 157014 3.54838469105704
208 20803 122522 2.76889442417676
208 20804 43808 0.990024052287227
209 20901 127693 2.88575468655754
209 20902 99751 2.25428892530367
209 20903 68270 1.54284473268921
209 20904 224581 5.07534221344772
210 21001 61472 1.38921563509406
210 21002 30739 0.694675615030521
210 21003 79587 1.798599439586
210 21004 40978 0.926068426192157
210 21005 169296 3.82594758847741
211 21101 160712 3.63195638904275
211 21102 27426 0.619804594093076
211 21103 114524 2.58814633318441
211 21104 63597 1.43723885256827
211 21105 154495 3.49145740408408
212 21201 97790 2.20997197026041
212 21202 137519 3.10781404415831
212 21203 176002 3.97749756324545
212 21204 197453 4.46227216938162
212 21205 184848 4.17740974290516
213 21301 196858 4.44882566848884
213 21302 88342 1.99645509557976
213 21303 87355 1.97414972351056
213 21304 160293 3.62248734051489
213 21305 233138 5.26872323553094
