"SA3" "delta" "category"
20601 0.291920014459771 "Increase (< 1%)"
20602 0.0250006238345384 "No change (< 0.1%)"
20603 0.259322885460033 "Increase (< 1%)"
20604 -1.09623903607427 "Decrease (> 1%)"
20605 -0.0156747888251094 "No change (< 0.1%)"
20606 0.148602379491868 "Increase (< 1%)"
20607 -0.386199023037675 "Decrease (< 1%)"
20701 0.9898341528537 "Increase (< 1%)"
20702 -0.346307156337737 "Decrease (< 1%)"
20703 -0.398637325271928 "Decrease (< 1%)"
20801 1.5429672684774 "Increase (> 1%)"
20802 1.65691110511718 "Increase (> 1%)"
20803 0.710011645772031 "Increase (< 1%)"
20804 0.207282583333544 "Increase (< 1%)"
20901 1.03225616687682 "Increase (> 1%)"
20902 -0.254592663695853 "Decrease (< 1%)"
20903 0.938893907648366 "Increase (< 1%)"
20904 -1.04469998393786 "Decrease (> 1%)"
21001 0.283901607059338 "Increase (< 1%)"
21002 -0.230853379018498 "Decrease (< 1%)"
21003 0.0823368208735138 "No change (< 0.1%)"
21004 -0.0108841098851908 "No change (< 0.1%)"
21005 -0.144413968345675 "Decrease (< 1%)"
21101 -0.442119127163894 "Decrease (< 1%)"
21102 -0.0822753727958604 "No change (< 0.1%)"
21103 -0.944400354707904 "Decrease (< 1%)"
21104 -0.223029465071721 "Decrease (< 1%)"
21105 -0.60226653167263 "Decrease (< 1%)"
21201 0.468921108107506 "Increase (< 1%)"
21202 1.55282971305804 "Increase (> 1%)"
21203 -0.116245544420055 "Decrease (< 1%)"
21204 -0.201094990357339 "Decrease (< 1%)"
21205 0.126302097413972 "Increase (< 1%)"
21301 -1.74344925068824 "Decrease (> 1%)"
21302 0.200955218035588 "Increase (< 1%)"
21303 0.0595967171602183 "No change (< 0.1%)"
21304 -1.2953141500596 "Decrease (> 1%)"
21305 -2.07992611231531 "Decrease (> 1%)"
