"year" "SA3" "ratio" "median_ratio"
2010 20601 1.07299200807749 1.14093694964089
2011 20601 1.33576999146661 1.14093694964089
2012 20601 1.25027066351571 1.14093694964089
2013 20601 0.911143689837347 1.14093694964089
2014 20601 1.30780136899575 1.14093694964089
2015 20601 1.03442935140432 1.14093694964089
2016 20601 1.14093694964089 1.14093694964089
2016 20602 0.612966866595455 1.02001525853201
2015 20602 0.787235924842285 1.02001525853201
2014 20602 1.18723666262806 1.02001525853201
2013 20602 0.56088512995863 1.02001525853201
2012 20602 1.10057754911162 1.02001525853201
2011 20602 1.02001525853201 1.02001525853201
2010 20602 1.44428862450016 1.02001525853201
2014 20603 0.974948194842641 1.16307203472596
2016 20603 0.804765007243768 1.16307203472596
2015 20603 1.01660362483363 1.16307203472596
2010 20603 1.16541688806952 1.16307203472596
2013 20603 1.22790223301589 1.16307203472596
2012 20603 1.4357398522178 1.16307203472596
2011 20603 1.16307203472596 1.16307203472596
2016 20604 0.674621467226223 0.672334336501133
2012 20604 0.672334336501133 0.672334336501133
2015 20604 0.624295892231883 0.672334336501133
2014 20604 0.574807424422985 0.672334336501133
2013 20604 0.687048297857038 0.672334336501133
2011 20604 0.4465545840949 0.672334336501133
2010 20604 0.854745903936649 0.672334336501133
2011 20605 0.965659037129019 0.993611431708117
2012 20605 0.993611431708117 0.993611431708117
2016 20605 0.914979357621125 0.993611431708117
2015 20605 1.16422919117153 0.993611431708117
2013 20605 1.1913464455614 0.993611431708117
2014 20605 0.752365841322546 0.993611431708117
2010 20605 1.15120841517393 0.993611431708117
2013 20606 1.06553155080318 1.0969876779427
2012 20606 1.52379871011577 1.0969876779427
2016 20606 1.1841027776285 1.0969876779427
2010 20606 1.76507244688789 1.0969876779427
2011 20606 1.01671011176253 1.0969876779427
2014 20606 1.01448960927273 1.0969876779427
2015 20606 1.0969876779427 1.0969876779427
2015 20607 0.818652645160197 0.818652645160197
2010 20607 0.878754176695788 0.818652645160197
2016 20607 0.861267537639615 0.818652645160197
2013 20607 0.65810715170748 0.818652645160197
2014 20607 0.834055115376811 0.818652645160197
2011 20607 0.773757522714775 0.818652645160197
2012 20607 0.757843792925361 0.818652645160197
2015 20701 1.24695168079966 1.24695168079966
2016 20701 1.17991658208197 1.24695168079966
2011 20701 1.8288708711959 1.24695168079966
2014 20701 1.04993332338145 1.24695168079966
2013 20701 1.10293268373359 1.24695168079966
2012 20701 1.53017292268909 1.24695168079966
2010 20701 1.28918859146137 1.24695168079966
2014 20702 0.839696481197726 0.839696481197726
2013 20702 0.946403346540419 0.839696481197726
2016 20702 0.934389445469788 0.839696481197726
2015 20702 0.644596257064443 0.839696481197726
2010 20702 0.852224723725156 0.839696481197726
2012 20702 0.830034001056912 0.839696481197726
2011 20702 0.791652923169902 0.839696481197726
2016 20703 0.875888094477554 0.835538576676294
2012 20703 0.689925600506465 0.835538576676294
2011 20703 0.757582856922565 0.835538576676294
2015 20703 0.903352893213596 0.835538576676294
2013 20703 0.835538576676294 0.835538576676294
2014 20703 1.00513507191855 0.835538576676294
2010 20703 0.572025058145704 0.835538576676294
2015 20801 1.96413426536678 1.66456507527748
2012 20801 1.72310748255928 1.66456507527748
2014 20801 1.58581497923236 1.66456507527748
2010 20801 1.5741407932625 1.66456507527748
2011 20801 1.22352306541998 1.66456507527748
2013 20801 1.97396774582141 1.66456507527748
2016 20801 1.66456507527748 1.66456507527748
2016 20802 1.33278328515055 1.46694799165747
2015 20802 1.57246442515557 1.46694799165747
2013 20802 1.59504957555457 1.46694799165747
2010 20802 2.06745036780496 1.46694799165747
2012 20802 1.3174520056906 1.46694799165747
2014 20802 1.32204283267262 1.46694799165747
2011 20802 1.46694799165747 1.46694799165747
2014 20803 1.57992844360824 1.25642423906543
2013 20803 1.25642423906543 1.25642423906543
2016 20803 1.30792425238526 1.25642423906543
2015 20803 1.61667879419958 1.25642423906543
2010 20803 0.829305601310213 1.25642423906543
2011 20803 1.03922588630583 1.25642423906543
2012 20803 1.03791947745101 1.25642423906543
2015 20804 1.20421571891844 1.20937126007663
2014 20804 0.841621040134892 1.20937126007663
2016 20804 1.31657990517739 1.20937126007663
2011 20804 1.6939865994287 1.20937126007663
2010 20804 1.39232052707602 1.20937126007663
2013 20804 0.941531550971244 1.20937126007663
2012 20804 1.20937126007663 1.20937126007663
2016 20901 1.59789228966555 1.35770752506625
2014 20901 1.12963092113356 1.35770752506625
2013 20901 1.32467896370895 1.35770752506625
2012 20901 1.64521126112024 1.35770752506625
2015 20901 1.48258066440488 1.35770752506625
2010 20901 1.35770752506625 1.35770752506625
2011 20901 1.0220629286887 1.35770752506625
2016 20902 0.887062984323734 0.887062984323734
