frac_self frac_cbd sim week ix cum_infs cum_inf_propn popn
0.1 0.2 0 104 20601 42483.406655070896 0.46352445261007164 91653
0.1 0.2 0 104 20602 23790.085675082148 0.43042618507141445 55271
0.1 0.2 0 104 20603 35358.985615090314 0.5024938623941665 70367
0.1 0.2 0 104 20604 93009.5409519471 0.6282687968329523 148041
0.1 0.2 0 104 20605 80356.65811029685 0.7401436700190371 108569
0.1 0.2 0 104 20606 44187.04970672898 0.6517456223889936 67798
0.1 0.2 0 104 20607 78427.98413768053 0.8322684396043947 94234
0.1 0.2 0 104 20701 93326.74643964165 0.5261965507616762 177361
0.1 0.2 0 104 20702 30262.161774208987 0.31657298938425393 95593
0.1 0.2 0 104 20703 56499.21301659604 0.5267697193312826 107256
0.1 0.2 0 104 20801 38296.03389890389 0.37275795379370513 102737
0.1 0.2 0 104 20802 59108.71924694181 0.37645508838028335 157014
0.1 0.2 0 104 20803 62644.53651976869 0.5112921476940361 122522
0.1 0.2 0 104 20804 27238.3164100521 0.6217658055618175 43808
0.1 0.2 0 104 20901 49121.888663360995 0.3846874038777458 127693
0.1 0.2 0 104 20902 46361.45815975427 0.46477186353775174 99751
0.1 0.2 0 104 20903 14296.041619417229 0.20940444733290214 68270
0.1 0.2 0 104 20904 61218.28800180601 0.27258890111721834 224581
0.1 0.2 0 104 21001 36532.0622800696 0.5942878429214862 61472
0.1 0.2 0 104 21002 4998.9554969063865 0.16262583353090168 30739
0.1 0.2 0 104 21003 29004.258039169108 0.36443461921129217 79587
0.1 0.2 0 104 21004 7491.476710383824 0.1828170411045884 40978
0.1 0.2 0 104 21005 82185.37342886381 0.48545372264473946 169296
0.1 0.2 0 104 21101 58499.10306214713 0.3639995959365021 160712
0.1 0.2 0 104 21102 4911.073880239019 0.1790663560212579 27426
0.1 0.2 0 104 21103 38831.501580979486 0.3390686806344477 114524
0.1 0.2 0 104 21104 28989.906105910362 0.45583763551598916 63597
0.1 0.2 0 104 21105 24170.519427569874 0.15644855450059791 154495
0.1 0.2 0 104 21201 8914.40422258756 0.09115864835451028 97790
0.1 0.2 0 104 21202 29034.848157726112 0.2111333572650042 137519
0.1 0.2 0 104 21203 16820.351080632652 0.09556909058211073 176002
0.1 0.2 0 104 21204 92129.20509887912 0.46658802397977805 197453
0.1 0.2 0 104 21205 108448.6180305284 0.5866907839442591 184848
0.1 0.2 0 104 21301 69060.9844885473 0.3508162456620879 196858
0.1 0.2 0 104 21302 46001.36384682297 0.5207190673385589 88342
0.1 0.2 0 104 21303 51135.83775606933 0.5853796320310152 87355
0.1 0.2 0 104 21304 27684.15229679976 0.17270967725851882 160293
0.1 0.2 0 104 21305 69485.54306424406 0.29804469054484495 233138
0.1 0.25 0 104 20601 41263.11654148838 0.45021021179326787 91653
0.1 0.25 0 104 20602 23032.840207347366 0.4167255922155808 55271
0.1 0.25 0 104 20603 34525.63178480571 0.49065089864291084 70367
0.1 0.25 0 104 20604 103380.07535981218 0.6983205690302834 148041
0.1 0.25 0 104 20605 79762.36742859494 0.734669817614558 108569
0.1 0.25 0 104 20606 43683.40506490205 0.6443170162084729 67798
0.1 0.25 0 104 20607 78033.50978425273 0.828082324683795 94234
0.1 0.25 0 104 20701 91404.85245971578 0.515360493342481 177361
0.1 0.25 0 104 20702 29152.628255404023 0.30496614035969183 95593
0.1 0.25 0 104 20703 55354.455168260305 0.516096583578171 107256
0.1 0.25 0 104 20801 37069.145921943884 0.36081592728952455 102737
0.1 0.25 0 104 20802 57317.83830136461 0.36504922046037047 157014
0.1 0.25 0 104 20803 61271.57130028663 0.5000862808335371 122522
0.1 0.25 0 104 20804 26802.512237105388 0.6118177555949915 43808
0.1 0.25 0 104 20901 47575.74051480896 0.3725790804101161 127693
0.1 0.25 0 104 20902 45115.623708415806 0.4522824203107318 99751
0.1 0.25 0 104 20903 13630.20490860872 0.1996514561096927 68270
0.1 0.25 0 104 20904 58995.19342628462 0.26269004691529835 224581
0.1 0.25 0 104 21001 35785.11297886162 0.5821367936436365 61472
0.1 0.25 0 104 21002 4689.400811860738 0.15255541207784046 30739
0.1 0.25 0 104 21003 28008.598059150914 0.35192428485997607 79587
0.1 0.25 0 104 21004 7089.961643034163 0.1730187330527152 40978
0.1 0.25 0 104 21005 80212.21544137016 0.4737986452212112 169296
0.1 0.25 0 104 21101 56938.953771535234 0.35429186228492726 160712
0.1 0.25 0 104 21102 4670.766139800377 0.1703043148764084 27426
0.1 0.25 0 104 21103 37631.63484719471 0.32859169123672516 114524
0.1 0.25 0 104 21104 28316.029565489363 0.44524159261426427 63597
0.1 0.25 0 104 21105 23163.62602652333 0.14993123419219606 154495
0.1 0.25 0 104 21201 8456.187031936293 0.08647292189320271 97790
0.1 0.25 0 104 21202 27977.42344059651 0.20344405820720418 137519
0.1 0.25 0 104 21203 15943.545497109299 0.09058729728701548 176002
0.1 0.25 0 104 21204 90027.46806709406 0.45594378443018874 197453
0.1 0.25 0 104 21205 106510.07722832359 0.5762035684904547 184848
0.1 0.25 0 104 21301 66719.21293197713 0.3389205058060995 196858
0.1 0.25 0 104 21302 44798.370088706244 0.5071016061296579 88342
0.1 0.25 0 104 21303 50091.7158268029 0.5734270027680488 87355
0.1 0.25 0 104 21304 26120.251579272182 0.16295316438816532 160293
0.1 0.25 0 104 21305 66510.61968754718 0.2852843366913467 233138
0.1 0.33 0 104 20601 39071.082519590396 0.42629354761535787 91653
0.1 0.33 0 104 20602 21705.42419878333 0.3927090915449934 55271
0.1 0.33 0 104 20603 32979.14582565128 0.4686734666200247 70367
0.1 0.33 0 104 20604 114959.16960591149 0.7765360245196364 148041
0.1 0.33 0 104 20605 78366.92554387808 0.7218167759109698 108569
0.1 0.33 0 104 20606 42628.74933789839 0.6287611631301572 67798
0.1 0.33 0 104 20607 77060.05888624539 0.8177521795344078 94234
0.1 0.33 0 104 20701 87834.13296568189 0.49522799806993584 177361
0.1 0.33 0 104 20702 27250.34110823911 0.2850662821361304 95593
0.1 0.33 0 104 20703 53254.991802733515 0.4965222626494883 107256
0.1 0.33 0 104 20801 34942.80757250379 0.3401190181969864 102737
0.1 0.33 0 104 20802 54187.251279916134 0.34511095367238676 157014
0.1 0.33 0 104 20803 58811.0986887015 0.4800043966691819 122522
0.1 0.33 0 104 20804 25975.39449377579 0.59293723734879 43808
0.1 0.33 0 104 20901 44859.8554651415 0.3513102164186095 127693
0.1 0.33 0 104 20902 42888.00429701786 0.4299506200140135 99751
0.1 0.33 0 104 20903 12516.585622769882 0.1833394700859804 68270
0.1 0.33 0 104 20904 55164.91216065225 0.24563481398984 224581
0.1 0.33 0 104 21001 34403.478328771336 0.559660956675744 61472
0.1 0.33 0 104 21002 4180.956234393576 0.13601471207240234 30739
0.1 0.33 0 104 21003 26290.417273648847 0.33033557331786406 79587
0.1 0.33 0 104 21004 6421.632785514848 0.15670927779576477 40978
0.1 0.33 0 104 21005 76601.14498202768 0.4524687233131774 169296
0.1 0.33 0 104 21101 54191.281785112355 0.33719499343616127 160712
0.1 0.33 0 104 21102 4272.178293706205 0.15577110383235634 27426
0.1 0.33 0 104 21103 35549.215058202026 0.31040843018233755 114524
0.1 0.33 0 104 21104 27102.80947974467 0.426164905258812 63597
0.1 0.33 0 104 21105 21471.09215252765 0.13897596784703486 154495
0.1 0.33 0 104 21201 7704.447751974629 0.07878564016744687 97790
0.1 0.33 0 104 21202 26182.672896744698 0.1903931303801271 137519
0.1 0.33 0 104 21203 14510.10138955043 0.08244282104493375 176002
0.1 0.33 0 104 21204 86275.36080105166 0.4369412508346374 197453
0.1 0.33 0 104 21205 102930.09729859294 0.5568364131534718 184848
0.1 0.33 0 104 21301 62605.516843966005 0.3180237371301446 196858
0.1 0.33 0 104 21302 42618.33428955513 0.48242437673535954 88342
0.1 0.33 0 104 21303 48130.82774970995 0.5509796548532991 87355
0.1 0.33 0 104 21304 23540.81912269062 0.14686117998097623 160293
0.1 0.33 0 104 21305 61433.32504974387 0.26350627117734504 233138
0.1 0.5 0 104 20601 33801.91495115933 0.368803148300212 91653
0.1 0.5 0 104 20602 18592.303948352506 0.3363844321317238 55271
0.1 0.5 0 104 20603 29124.842445890405 0.41389916361206824 70367
0.1 0.5 0 104 20604 127896.38312169383 0.8639254201315435 148041
0.1 0.5 0 104 20605 74148.46000199055 0.6829616188966514 108569
0.1 0.5 0 104 20606 39707.34931397045 0.5856713961174438 67798
0.1 0.5 0 104 20607 73957.82555783752 0.7848316484266562 94234
0.1 0.5 0 104 20701 78917.58647343586 0.4449545642696865 177361
0.1 0.5 0 104 20702 22935.540957590885 0.23992908432197843 95593
0.1 0.5 0 104 20703 48028.70768659107 0.44779506681762393 107256
0.1 0.5 0 104 20801 30048.009355268878 0.2924750513959808 102737
0.1 0.5 0 104 20802 46919.179787756075 0.2988216323879149 157014
0.1 0.5 0 104 20803 52812.36720576449 0.431043952969789 122522
0.1 0.5 0 104 20804 23868.345261263796 0.5448398753940786 43808
0.1 0.5 0 104 20901 38492.39665678327 0.3014448455027548 127693
0.1 0.5 0 104 20902 37507.39760844701 0.3760102415860193 99751
0.1 0.5 0 104 20903 10079.385700390078 0.14764004248410836 68270
0.1 0.5 0 104 20904 46418.490387312224 0.20668930313478087 224581
0.1 0.5 0 104 21001 30886.073820563593 0.5024413362272838 61472
0.1 0.5 0 104 21002 3107.490476801373 0.10109276413680904 30739
0.1 0.5 0 104 21003 22304.41148963657 0.2802519442828172 79587
0.1 0.5 0 104 21004 4980.41578792486 0.12153877172933915 40978
0.1 0.5 0 104 21005 67650.78632213935 0.39960061857420937 169296
0.1 0.5 0 104 21101 47692.49436315388 0.29675751881100276 160712
0.1 0.5 0 104 21102 3412.354646542637 0.12442042757028503 27426
0.1 0.5 0 104 21103 30726.40950362227 0.2682966845693677 114524
0.1 0.5 0 104 21104 24153.214806685275 0.37978544281468113 63597
0.1 0.5 0 104 21105 17761.144051186973 0.11496258164462911 154495
0.1 0.5 0 104 21201 6112.318970196473 0.06250454003677751 97790
0.1 0.5 0 104 21202 22165.566158124377 0.16118184511321618 137519
0.1 0.5 0 104 21203 11485.72175646099 0.0652590411271519 176002
0.1 0.5 0 104 21204 77185.73296884775 0.3909068637541478 197453
0.1 0.5 0 104 21205 93878.40067376338 0.5078680898563326 184848
0.1 0.5 0 104 21301 52990.94934529034 0.2691836214189433 196858
0.1 0.5 0 104 21302 37258.14321544885 0.42174892141279174 88342
0.1 0.5 0 104 21303 43094.71496887252 0.49332854408874727 87355
0.1 0.5 0 104 21304 18034.250201545772 0.11250803342345438 160293
0.1 0.5 0 104 21305 50033.29305951009 0.21460805642799582 233138
0.1 0.67 0 104 20601 28165.995159033402 0.30731121904393094 91653
0.1 0.67 0 104 20602 15317.18884043242 0.27712885311343055 55271
0.1 0.67 0 104 20603 24863.092826660635 0.3533345577708391 70367
0.1 0.67 0 104 20604 133158.54589856122 0.8994707270186044 148041
0.1 0.67 0 104 20605 68776.80322367443 0.6334847260606106 108569
0.1 0.67 0 104 20606 36209.134208844145 0.5340737810679392 67798
0.1 0.67 0 104 20607 69767.84003625132 0.7403680204199261 94234
0.1 0.67 0 104 20701 68995.31890071071 0.38901065567238974 177361
0.1 0.67 0 104 20702 18568.848887143744 0.1942490442516057 95593
0.1 0.67 0 104 20703 42142.74235334174 0.3929173412521606 107256
0.1 0.67 0 104 20801 24998.61083147912 0.24332626835005033 102737
0.1 0.67 0 104 20802 39374.06023244378 0.25076783110069023 157014
0.1 0.67 0 104 20803 46132.72827385654 0.376526079184608 122522
0.1 0.67 0 104 20804 21417.375528663844 0.4888918811327576 43808
0.1 0.67 0 104 20901 31809.16395414631 0.24910655990654387 127693
0.1 0.67 0 104 20902 31643.68645272554 0.3172267591575577 99751
0.1 0.67 0 104 20903 7707.880708341545 0.11290289597687923 68270
0.1 0.67 0 104 20904 37486.50923978182 0.16691754529448985 224581
0.1 0.67 0 104 21001 26805.970962554136 0.4360679815615912 61472
0.1 0.67 0 104 21002 2119.4635430483395 0.06895030882749405 30739
0.1 0.67 0 104 21003 18150.46460558685 0.22805815780952732 79587
0.1 0.67 0 104 21004 3616.808289105531 0.08826219652265925 40978
0.1 0.67 0 104 21005 57684.97851693432 0.3407344445050936 169296
0.1 0.67 0 104 21101 40724.99847289712 0.25340359446025884 160712
0.1 0.67 0 104 21102 2590.327353607361 0.09444787258832353 27426
0.1 0.67 0 104 21103 25680.782758363828 0.22423931017397078 114524
0.1 0.67 0 104 21104 20908.722487728206 0.3287690062067111 63597
0.1 0.67 0 104 21105 14110.757817413309 0.09133472162473419 154495
0.1 0.67 0 104 21201 4621.95805771774 0.04726411757559812 97790
0.1 0.67 0 104 21202 18130.87555124906 0.13184269483670663 137519
0.1 0.67 0 104 21203 8663.173621986061 0.0492220180565338 176002
0.1 0.67 0 104 21204 67139.78778111501 0.3400292109064689 197453
0.1 0.67 0 104 21205 83437.84556993026 0.4513862501619182 184848
0.1 0.67 0 104 21301 42985.697499636386 0.2183589059100285 196858
0.1 0.67 0 104 21302 31324.889472466006 0.3545866006255915 88342
0.1 0.67 0 104 21303 37330.15247973485 0.4273384749554673 87355
0.1 0.67 0 104 21304 12863.769627806003 0.08025159943232707 160293
0.1 0.67 0 104 21305 38690.334856133675 0.16595464856065367 233138
0.1 0.75 0 104 20601 25517.425215825744 0.27841342035531563 91653
0.1 0.75 0 104 20602 13788.880553963092 0.2494776746207431 55271
0.1 0.75 0 104 20603 22816.70141649939 0.32425286592435926 70367
0.1 0.75 0 104 20604 134280.97066892657 0.9070525777921425 148041
0.1 0.75 0 104 20605 65978.35855828418 0.6077090012644878 108569
0.1 0.75 0 104 20606 34447.20462317704 0.5080858524318864 67798
0.1 0.75 0 104 20607 67491.22567443323 0.7162088595881871 94234
0.1 0.75 0 104 20701 64192.69791957068 0.3619324311408409 177361
0.1 0.75 0 104 20702 16575.038609036856 0.1733917609975297 95593
0.1 0.75 0 104 20703 39253.72526465394 0.3659816258731814 107256
0.1 0.75 0 104 20801 22666.521091371513 0.2206266592500415 102737
0.1 0.75 0 104 20802 35877.16176062697 0.22849657839827642 157014
0.1 0.75 0 104 20803 42863.880260835766 0.34984639706204407 122522
0.1 0.75 0 104 20804 20185.644427536598 0.460775301943403 43808
