"long" "lat" "order" "hole" "piece" "id" "group" "ogc_fid" "sa3_code11" "sa3_name11" "sa4_code11" "sa4_name11" "gcc_code11" "gcc_name11" "ste_code11" "ste_name11" "albers_sqm" "SA3_CODE"
-18597.22826026 9756.99462121 54 FALSE "1" "1" "1.1" "2" "21001" "Keilor" "210" "Melbourne - North West" "2GMEL" "Greater Melbourne" "2" "Victoria" 42426554.5766135 21001
-19270.85040415 10390.00322293 55 FALSE "1" "1" "1.1" "2" "21001" "Keilor" "210" "Melbourne - North West" "2GMEL" "Greater Melbourne" "2" "Victoria" 42426554.5766135 21001
-20211.9588061 9300.10587686 56 FALSE "1" "1" "1.1" "2" "21001" "Keilor" "210" "Melbourne - North West" "2GMEL" "Greater Melbourne" "2" "Victoria" 42426554.5766135 21001
-19908.80819386 8694.6990868 57 FALSE "1" "1" "1.1" "2" "21001" "Keilor" "210" "Melbourne - North West" "2GMEL" "Greater Melbourne" "2" "Victoria" 42426554.5766135 21001
-21075.48075732 8172.33365915 58 FALSE "1" "1" "1.1" "2" "21001" "Keilor" "210" "Melbourne - North West" "2GMEL" "Greater Melbourne" "2" "Victoria" 42426554.5766135 21001
-21907.01396092 8824.47896214 59 FALSE "1" "1" "1.1" "2" "21001" "Keilor" "210" "Melbourne - North West" "2GMEL" "Greater Melbourne" "2" "Victoria" 42426554.5766135 21001
-22373.84282094 11362.77420304 60 FALSE "1" "1" "1.1" "2" "21001" "Keilor" "210" "Melbourne - North West" "2GMEL" "Greater Melbourne" "2" "Victoria" 42426554.5766135 21001
-24015.68933238 12811.73825298 61 FALSE "1" "1" "1.1" "2" "21001" "Keilor" "210" "Melbourne - North West" "2GMEL" "Greater Melbourne" "2" "Victoria" 42426554.5766135 21001
-23766.57501211 13884.58803265 62 FALSE "1" "1" "1.1" "2" "21001" "Keilor" "210" "Melbourne - North West" "2GMEL" "Greater Melbourne" "2" "Victoria" 42426554.5766135 21001
-24579.58250632 14908.14472457 63 FALSE "1" "1" "1.1" "2" "21001" "Keilor" "210" "Melbourne - North West" "2GMEL" "Greater Melbourne" "2" "Victoria" 42426554.5766135 21001
-26305.74771999 16113.89488853 64 FALSE "1" "1" "1.1" "2" "21001" "Keilor" "210" "Melbourne - North West" "2GMEL" "Greater Melbourne" "2" "Victoria" 42426554.5766135 21001
-25412.19647766 16708.64783301 65 FALSE "1" "1" "1.1" "2" "21001" "Keilor" "210" "Melbourne - North West" "2GMEL" "Greater Melbourne" "2" "Victoria" 42426554.5766135 21001
-24283.02005277 16806.83235834 66 FALSE "1" "1" "1.1" "2" "21001" "Keilor" "210" "Melbourne - North West" "2GMEL" "Greater Melbourne" "2" "Victoria" 42426554.5766135 21001
-23092.81759793 15580.64122367 67 FALSE "1" "1" "1.1" "2" "21001" "Keilor" "210" "Melbourne - North West" "2GMEL" "Greater Melbourne" "2" "Victoria" 42426554.5766135 21001
-22263.32129518 15466.64753163 68 FALSE "1" "1" "1.1" "2" "21001" "Keilor" "210" "Melbourne - North West" "2GMEL" "Greater Melbourne" "2" "Victoria" 42426554.5766135 21001
-21889.50596122 16419.16765641 69 FALSE "1" "1" "1.1" "2" "21001" "Keilor" "210" "Melbourne - North West" "2GMEL" "Greater Melbourne" "2" "Victoria" 42426554.5766135 21001
-18850.4960788 15767.2507844 70 FALSE "1" "1" "1.1" "2" "21001" "Keilor" "210" "Melbourne - North West" "2GMEL" "Greater Melbourne" "2" "Victoria" 42426554.5766135 21001
-17793.08151829 15608.847952 71 FALSE "1" "1" "1.1" "2" "21001" "Keilor" "210" "Melbourne - North West" "2GMEL" "Greater Melbourne" "2" "Victoria" 42426554.5766135 21001
-15111.96884149 12718.56260531 72 FALSE "1" "1" "1.1" "2" "21001" "Keilor" "210" "Melbourne - North West" "2GMEL" "Greater Melbourne" "2" "Victoria" 42426554.5766135 21001
-14644.55285193 11697.05753822 73 FALSE "1" "1" "1.1" "2" "21001" "Keilor" "210" "Melbourne - North West" "2GMEL" "Greater Melbourne" "2" "Victoria" 42426554.5766135 21001
-18251.33878036 12790.40614126 74 FALSE "1" "1" "1.1" "2" "21001" "Keilor" "210" "Melbourne - North West" "2GMEL" "Greater Melbourne" "2" "Victoria" 42426554.5766135 21001
-18597.22826026 9756.99462121 75 FALSE "1" "1" "1.1" "2" "21001" "Keilor" "210" "Melbourne - North West" "2GMEL" "Greater Melbourne" "2" "Victoria" 42426554.5766135 21001
-9866.130846 2255.89424124 3784 FALSE "1" "117" "117.1" "101" "20604" "Melbourne City" "206" "Melbourne - Inner" "2GMEL" "Greater Melbourne" "2" "Victoria" 31548794.2970593 20604
-10191.43321498 -80.39409223 3785 FALSE "1" "117" "117.1" "101" "20604" "Melbourne City" "206" "Melbourne - Inner" "2GMEL" "Greater Melbourne" "2" "Victoria" 31548794.2970593 20604
-11328.21647581 2223.71882879 3786 FALSE "1" "117" "117.1" "101" "20604" "Melbourne City" "206" "Melbourne - Inner" "2GMEL" "Greater Melbourne" "2" "Victoria" 31548794.2970593 20604
-17118.92379353 2991.43609519 3787 FALSE "1" "117" "117.1" "101" "20604" "Melbourne City" "206" "Melbourne - Inner" "2GMEL" "Greater Melbourne" "2" "Victoria" 31548794.2970593 20604
-17045.12660098 4549.72446949 3788 FALSE "1" "117" "117.1" "101" "20604" "Melbourne City" "206" "Melbourne - Inner" "2GMEL" "Greater Melbourne" "2" "Victoria" 31548794.2970593 20604
-16162.33097646 5754.47609696 3789 FALSE "1" "117" "117.1" "101" "20604" "Melbourne City" "206" "Melbourne - Inner" "2GMEL" "Greater Melbourne" "2" "Victoria" 31548794.2970593 20604
-17377.66406286 6682.7914662 3790 FALSE "1" "117" "117.1" "101" "20604" "Melbourne City" "206" "Melbourne - Inner" "2GMEL" "Greater Melbourne" "2" "Victoria" 31548794.2970593 20604
-16422.16174966 7820.81826363 3791 FALSE "1" "117" "117.1" "101" "20604" "Melbourne City" "206" "Melbourne - Inner" "2GMEL" "Greater Melbourne" "2" "Victoria" 31548794.2970593 20604
