"long" "lat" "order" "hole" "piece" "id" "group" "ogc_fid" "state_code" "state_name" "country_co" "STE_CODE"
129611.94585673 -94264.79281548 49798 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
129968.07637084 -94076.5757164 49799 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
129989.33470675 -94231.38262832 49800 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
129564.9353224 -94517.19613871 49801 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
129500.7295955 -94435.7541683 49802 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
128986.88347706 -95225.74844631 49803 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
128823.51276782 -93111.77029461 49804 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
128487.6074725 -94514.53330325 49805 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
128094.07975623 -92904.35740001 49806 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
128095.82806142 -93527.02097981 49807 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
127269.01803487 -92951.11460314 49808 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
125863.45999894 -93626.17656554 49809 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
127311.61149824 -93500.36203629 49810 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
127612.58722612 -94386.76429479 49811 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
127226.59540307 -95150.03343397 49812 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
126399.2560162 -94164.33751368 49813 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
126238.47396229 -95771.83595238 49814 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
125200.00326658 -95142.49015094 49815 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
125399.9099594 -93713.92540662 49816 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
123079.84358369 -94662.33725876 49817 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
121360.55242638 -93025.43609566 49818 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
121183.81596447 -94912.82044875 49819 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
118573.15985477 -95464.34648906 49820 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
116335.91465108 -94582.61806446 49821 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
116492.49471216 -95170.64294345 49822 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
113970.27425435 -96488.79550591 49823 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
114031.3385026 -97523.11732096 49824 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
111931.84200684 -97441.17992119 49825 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
111458.6427043 -93536.76105435 49826 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
108843.07731179 -92087.71725813 49827 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
107187.41748046 -92970.04728909 49828 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
107783.81049119 -94043.69886852 49829 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
103677.3599222 -94500.25706111 49830 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
100977.60409292 -93583.4721525 49831 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
100273.15284866 -94705.90010703 49832 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
99504.31824534 -94448.5591529 49833 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
99537.81618194 -93066.73888591 49834 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
98107.74174801 -93749.86544919 49835 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
98408.44063258 -94423.64431079 49836 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
96750.14356237 -94145.21826382 49837 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
98234.23051618 -95088.69170354 49838 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
95910.00924127 -96410.66934722 49839 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
96419.35652866 -96401.26396205 49840 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
96811.47298344 -97127.50271899 49841 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
95628.80665325 -96712.18625203 49842 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
94964.89886079 -97831.11491847 49843 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
95702.6939604 -98591.73132652 49844 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
96581.10573038 -98099.34868052 49845 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
96049.66212831 -98861.04774008 49846 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
96571.07336686 -99149.59271127 49847 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
95241.53237666 -98903.20149202 49848 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
95009.33980996 -98108.33368871 49849 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
94378.17167984 -99725.55643422 49850 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
97203.16747277 -102919.07270575 49851 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
98416.50179342 -107066.45184242 49852 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
101875.00125029 -106777.36823036 49853 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
101079.23224415 -108698.68112664 49854 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
101577.15210261 -112779.67462837 49855 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
103502.77825912 -114617.37141747 49856 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
102996.66521039 -116608.14094777 49857 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
103452.26128745 -117735.23217187 49858 FALSE "1" "7" "7.1" "8" "2" "Victoria" "au" 2
