SA1_CODE_2021,Popn
10102100701,305
10102100702,310
10102100703,473
10102100704,518
10102100705,422
10102100706,291
10102100707,411
10102100708,632
10102100709,444
10102100710,527
10102100801,388
10102100802,570
10102100803,362
10102100804,433
10102100805,264
10102100806,407
10102100807,485
10102100808,520
10102100809,0
10102100810,240
10102100811,359
10102100812,265
10102100813,425
10102100814,526
10102100815,502
10102100816,465
10102100817,346
10102100818,317
10102100819,447
10102100820,290
10102100821,459
10102100822,228
10102100823,220
10102100901,242
10102100902,382
10102100904,346
10102100905,421
10102100907,512
10102100908,534
10102100909,615
10102100910,570
10102100911,459
10102100912,293
10102100913,655
10102100914,433
10102100915,787
10102100916,483
10102100917,252
10102100918,570
10102100919,521
10102100920,380
10102100921,418
10102100923,461
10102100924,15
10102100925,487
10102100926,259
10102100927,336
10102100928,383
10102100929,556
10102101001,180
10102101002,347
10102101003,313
10102101004,294
10102101006,504
10102101007,246
10102101008,527
10102101009,376
10102101010,398
10102101011,28
10102101012,94
10102101013,7
10102101014,165
10102101015,627
10102101016,436
10102101017,508
10102101201,199
10102101202,272
10102101203,611
10102101204,382
10102101205,326
10102101206,393
10102101207,218
10102101208,409
10102101209,781
10102101210,425
10102101211,637
10102101212,343
10102101213,514
10102101214,534
10102101215,485
10102101216,308
10102101217,42
10102101218,494
10102101219,632
10102101220,453
10102101221,323
10102101222,515
10102101223,606
10102101224,536
10102101225,0
10102101226,0
10102101227,434
10102101228,395
10102101229,454
10102101230,205
10102101231,329
10102101232,472
10102161001,421
10102161002,329
10102161003,635
10102161004,273
10102161005,454
10102161006,439
10102161007,408
10102161008,289
10102161009,256
10102161010,411
10102161011,411
10102161012,375
10102161013,526
10102161014,486
10102161015,496
10102161101,270
10102161102,226
10102161103,224
10102161104,366
10102161105,336
10102161106,452
10102161107,463
10102161108,467
10102161109,529
10102161110,347
10102161111,487
10102161112,303
10102161113,392
10102161114,160
10102161115,308
10102161116,322
10102161117,249
10102161118,498
10102161119,463
10102161120,308
10102161121,129
10102161122,367
10102161123,152
10102161124,641
10102161125,239
10102161126,603
10102161127,315
10102161128,117
10102161129,297
10102161130,472
10102161131,489
10102161132,360
10102161133,418
10102161134,181
10102161135,327
10102161136,368
10102161137,283
10102161138,667
10102161139,318
10102161140,451
10102161141,390
10102161142,141
10102161143,227
10102161144,481
10102161145,604
10102161146,333
10103101301,202
10103101302,472
10103101303,263
10103101304,407
10103101305,335
10103101306,181
10103101307,318
10103101308,262
10103101401,253
10103101402,368
10103101403,392
10103101404,459
10103101405,446
10103101406,500
10103101407,383
10103101408,200
10103101409,413
10103101410,398
10103101411,537
10103101412,578
10103101414,181
10103101415,428
10103101417,13
10103101419,478
10103101420,314
10103101421,391
10103101501,0
10103101502,6
10103101503,245
10103101505,76
10103101511,265
10103101512,142
10103101514,166
10103101515,248
10103101516,118
10103101517,179
10103101518,323
10103101519,345
10103101520,149
10103101521,411
10103101523,211
10103101524,212
10103101525,134
10103101526,254
10103101601,99
10103101602,452
10103101603,351
10103101604,284
10103101605,251
10103101606,637
10103101607,257
10103101608,308
10103101611,402
10103101612,66
10103101614,441
10103101615,399
10103101616,507
10103101617,435
10103101619,566
10103101620,222
10103101621,78
10103101622,204
10103101623,616
10103101624,0
10103101625,430
10103101626,291
10103101627,696
10104101701,623
10104101702,241
10104101703,440
10104101704,423
10104101705,225
10104101706,497
10104101707,0
10104101708,428
10104101709,848
10104101710,541
10104101711,473
10104101713,409
10104101714,0
10104101715,0
10104101716,500
10104101717,327
10104101718,424
10104101719,403
10104101720,300
10104101721,404
10104101722,504
10104101723,432
10104101724,112
10104101801,323
10104101802,272
10104101803,379
10104101804,198
10104101805,271
10104101806,440
10104101807,503
10104101808,479
10104101809,321
10104101810,336
10104101811,527
10104101812,425
10104101813,290
10104101814,249
10104101815,415
10104101816,406
10104101817,700
10104101818,495
10104101819,519
10104101820,299
10104101821,207
10104101822,432
10104101823,423
10104101824,0
10104101901,503
10104101902,453
10104101903,269
10104101904,433
10104101905,408
10104101906,537
10104101907,340
10104101911,390
10104101912,361
10104101913,384
10104101915,221
10104101917,825
10104101918,286
10104101919,314
10104101920,291
10104101921,378
10104101924,463
10104101925,372
10104101926,293
10104101927,147
10104101928,667
10104101929,254
10104101930,6
10104101931,42
10104101932,90
10104101933,103
10104102001,481
10104102002,554
10104102003,460
10104102004,367
10104102005,272
10104102006,363
10104102007,402
10104102008,362
10104102009,0
10104102010,4
10104102011,382
10104102012,0
10104102013,151
10104102014,197
10104102015,199
10104102016,263
10104102017,263
10104102018,425
10104102019,361
10104102020,581
10104102021,0
10104102022,329
10104102023,325
10104102024,262
10104102025,388
10104102026,181
10104102027,264
10104102028,511
10104102029,346
10104102030,399
10104102031,202
10104102032,236
10104102102,217
10104102104,747
10104102105,600
10104102106,629
10104102107,606
10104102108,467
10104102110,449
10104102111,54
10104102201,41
10104102301,369
10104102302,405
10104102303,427
10104102304,192
10104102305,477
10104102306,329
10104102307,332
10104102308,564
10104102309,323
10104102310,0
10104102401,296
10104102402,328
10104102403,246
10104102404,440
10104102405,288
10104102406,260
10104102407,322
10104102408,281
10104102409,280
10104102410,200
10104102411,247
10104102412,323
10104102501,0
10104102502,333
10104102503,370
10104102504,367
10104102505,285
10104102506,313
10104102507,283
10104102508,608
10104102509,130
10104102510,445
10104102511,405
10104102512,503
10104102513,468
10104102514,225
10104102516,316
10104102517,306
10104102518,619
10104102519,251
10104102520,580
10104102521,329
10104102522,361
10104102523,206
10104102524,322
10104102525,517
10104102526,682
10104102527,554
10104102528,583
10104102529,363
10104102530,357
10104102531,0
10104102532,402
10104102601,545
10104102603,339
10104102604,314
10104102605,545
10104102606,333
10104102607,429
10104102608,377
10104102609,413
10104102610,246
10104102611,188
10104102613,337
10104102614,670
10104102615,428
10104102616,224
10104102617,255
10104102618,352
10104102619,328
10104102620,302
10104102621,390
10104102622,287
10104102623,294
10104102624,273
10104102625,52
10104102626,544
10104102627,65
10104102701,265
10104102702,350
10104102703,218
10104102704,290
10104102705,446
10104102706,559
10104102707,554
10104102708,409
10104102709,687
10104102710,220
10104102711,0
10104102712,477
10104102713,477
10104102714,0
10104102715,25
10104102716,0
10104102719,485
10104102720,347
10104102721,652
10104102722,99
10104102723,290
10104102724,430
10104102725,319
10104102726,264
10104102728,311
10104102729,613
10104102730,46
10104102731,352
10104102732,350
10104102733,377
10105153901,216
10105153902,253
10105153903,211
10105153904,472
10105153905,315
10105153906,314
10105153907,66
10105153909,277
10105153910,175
10105153911,473
10105153912,513
10105153913,227
10105153914,395
10105153915,277
10105153916,612
10105153917,313
10105153918,320
10105153919,486
10105153920,826
10105153921,398
10105153922,583
10105153923,369
10105153924,437
10105153925,450
10105153926,439
10105153927,231
10105153928,103
10105153929,551
10105153930,391
10105153931,381
10105153932,435
10105153933,276
10105153934,269
10105153935,505
10105153936,305
10105153937,508
10105153938,290
10105153939,349
10105153940,208
10105153941,213
10105153942,550
10105153943,397
10105153944,524
10105153945,745
10105153946,363
10105153947,323
10105153948,206
10105153949,108
10105153950,419
10105153951,357
10105153952,320
10105153953,332
10105153954,384
10105153955,281
10105153956,369
10105153957,466
10105153958,18
10105153959,355
10105153960,264
10105153961,271
10105153962,413
10105153963,199
10105153964,437
10105153965,0
10105153966,878
10105153967,105
10105153968,207
10105153969,389
10105153970,366
10105154001,816
10105154002,412
10105154003,349
10105154004,694
10105154005,415
10105154006,506
10105154007,338
10105154008,352
10105154009,203
10105154010,485
10105154011,309
10105154012,465
10105154014,361
10105154015,345
10105154016,595
10105154017,414
10105154018,301
10105154019,312
10105154020,551
10105154021,578
10105154022,297
10105154023,512
10105154024,379
10105154025,262
10105154026,291
10105154027,341
10105154028,335
10105154029,484
10105154030,289
10105154031,571
10105154032,278
10105154033,412
10105154034,256
10105154035,251
10106154101,767
10106154102,492
10106154103,722
10106154104,262
10106154105,448
10106154106,542
10106154107,579
10106154108,270
10106154109,423
10106154111,593
10106154112,482
10106154113,385
10106154115,511
10106154116,0
10106154117,144
10106154118,153
10106154201,294
10106154202,209
10106154203,246
10106154204,338
10106154206,229
10106154207,303
10106154208,409
10106154209,311
10106154210,406
10106154211,326
10106154212,294
10106154213,502
10106154215,0
10106154216,411
10106154217,721
10106154219,300
10106154220,305
10106154222,300
10106154223,459
10106154224,273
10106154226,313
10106154227,275
10106154228,514
10106154229,122
10106154231,342
10106154232,252
10106154233,360
10106154234,349
10106154235,340
10106154236,196
10106154237,288
10106154238,303
10106154239,454
10106154240,680
10106154241,500
10106154242,301
10106154243,462
10106154301,611
10106154302,323
10106154303,432
10106154304,338
10106154305,378
10106154306,557
10106154307,141
10106154308,507
10106154309,364
10106154310,221
10106154311,240
10106154312,301
10106154313,468
10106154314,447
10106154315,435
10106154316,600
10106154317,238
10106154318,338
10106154319,278
10106154320,95
10106154321,437
10106154322,539
10106154323,258
10106154324,241
10106154325,479
10106154326,409
10106154327,261
10106154328,448
10106154329,215
