SA2_CODE_2021,Names,Popn
101021007,Braidwood,4333
101021008,Karabar,8518
101021009,Queanbeyan,11370
101021010,Queanbeyan - East,5050
101021012,Queanbeyan West - Jerrabomberra,12727
101021610,Googong,6209
101021611,Queanbeyan Surrounds,16540
101031013,Bombala,2440
101031014,Cooma,6732
101031015,Cooma Surrounds,3484
101031016,Jindabyne - Berridale,7992
101041017,Batemans Bay,8554
101041018,Batemans Bay - South,8909
101041019,Bega - Tathra,8830
101041020,Bega-Eden Hinterland,9530
101041021,Broulee - Tomakin,3769
101041022,Deua - Wadbilliga,41
101041023,Eden,3418
101041024,Eurobodalla Hinterland,3511
101041025,Merimbula - Tura Beach,11483
101041026,Moruya - Tuross Head,8530
101041027,Narooma - Bermagui,9912
101051539,Goulburn,24478
101051540,Goulburn Surrounds,13759
101061541,Yass,6773
101061542,Yass Surrounds,12687
101061543,Young,10958
101061544,Young Surrounds,7701
102011028,Avoca Beach - Copacabana,7496
102011029,Box Head - MacMasters Beach,11063
102011030,Calga - Kulnura,4674
102011031,Erina - Green Point,14776
102011032,Gosford - Springfield,21182
102011033,Kariong,6510
102011034,Kincumber - Picketts Valley,7590
102011035,Narara,7158
102011036,Niagara Park - Lisarow,8233
102011037,Point Clare - Koolewong,6541
102011038,Saratoga - Davistown,7145
102011039,Terrigal - North Avoca,14885
102011040,Umina - Booker Bay - Patonga,24672
102011041,Wamberal - Forresters Beach,10660
102011042,Woy Woy - Blackwall,14331
102011043,Wyoming,11435
102021044,Bateau Bay - Killarney Vale,22860
102021045,Blue Haven - San Remo,11290
102021046,Budgewoi - Buff Point - Halekulani,9750
102021047,Chittaway Bay - Tumbi Umbi,16002
102021048,Gorokan - Kanwal - Charmhaven,22425
102021049,Jilliby - Yarramalong,3414
102021050,Lake Munmorah - Mannering Park,10959
102021051,Ourimbah - Fountaindale,4941
102021052,Summerland Point - Gwandalan,6494
102021053,The Entrance,15878
102021054,Toukley - Norah Head,9897
102021055,Tuggerah - Kangy Angy,5241
102021056,Warnervale - Wadalba,20076
102021057,Wyong,9117
103011059,Bathurst - East,12346
103011060,Bathurst Surrounds,6907
103011061,Oberon,4854
103011612,Bathurst - South,10781
103011613,Bathurst - West,14299
103021062,Condobolin,6397
103021063,Cowra,9279
103021064,Cowra Surrounds,5704
103021065,Forbes,10017
103021066,Grenfell,3624
103021067,Parkes (NSW),10927
103021068,Parkes Surrounds,3257
103021069,West Wyalong,5527
103031070,Lithgow,12365
103031071,Lithgow Surrounds,8420
103031072,Mudgee,12571
103031073,Mudgee Surrounds - East,3389
103031074,Mudgee Surrounds - West,11047
103031075,Wollangambe - Wollemi,0
103041076,Blayney,7522
103041077,Orange,19045
103041078,Orange - North,22955
103041079,Orange Surrounds,11824
104011080,Grafton,19318
104011081,Grafton Surrounds,16904
104011082,Maclean - Yamba - Iluka,17582
104021083,Bellingen,6165
104021084,Coffs Harbour - North,18134
104021085,Coffs Harbour - South,11277
104021086,Coramba - Nana Glen - Bucca,3922
104021087,Dorrigo,3232
104021088,Korora - Emerald Beach,10265
104021089,Sawtell - Boambee,20043
104021090,Urunga,4919
104021091,Woolgoolga - Arrawarra,14464
105011092,Bourke - Brewarrina,3435
105011093,Cobar,4147
105011094,Coonamble,3902
105011095,Nyngan - Warren,4594
105011096,Walgett - Lightning Ridge,5547
105021097,Broken Hill,17587
105021098,Far West,2274
105031099,Coonabarabran,7934
105031100,Dubbo - East,10586
105031101,Dubbo - South,19604
105031102,Dubbo - West,10329
105031103,Dubbo Surrounds,5945
105031104,Gilgandra,4422
105031105,Narromine,6474
105031106,Wellington,8809
106011107,Branxton - Greta - Pokolbin,12787
106011108,Cessnock,23532
106011109,Cessnock Surrounds,9115
106011110,Dungog,9570
106011111,Kurri Kurri - Abermain,20635
106011112,Singleton,17010
106011113,Singleton Surrounds,5367
106021114,Maitland,8549
106021116,Maitland - North,8721
106021614,East Maitland - Metford,17931
106021615,Rutherford (North) - Aberglasslyn,17740
106021616,Rutherford (South) - Telarah,7991
